home_country,up_countries,avg_export_distance
Cambodia,Cambodia,293
Cambodia,China,3346
Cambodia,LaoPDR,969
Cambodia,Myanmar,1703
Cambodia,Thailand,719
Cambodia,Vietnam,1496
China,Cambodia,3346
China,China,1224
China,LaoPDR,2773
China,Myanmar,2960
China,Thailand,3294
China,Vietnam,2325
LaoPDR,Cambodia,969
LaoPDR,China,2773
LaoPDR,LaoPDR,610
LaoPDR,Myanmar,1222
LaoPDR,Thailand,651
LaoPDR,Vietnam,749
Myanmar,Cambodia,1703
Myanmar,China,2960
Myanmar,LaoPDR,1222
Myanmar,Myanmar,270
Myanmar,Thailand,1073
Myanmar,Vietnam,1961
Thailand,Cambodia,719
Thailand,China,3294
Thailand,LaoPDR,651
Thailand,Myanmar,1073
Thailand,Thailand,690
Thailand,Vietnam,1327
Vietnam,Cambodia,1496
Vietnam,China,2325
Vietnam,LaoPDR,749
Vietnam,Myanmar,1961
Vietnam,Thailand,1327
Vietnam,Vietnam,1489
