phase,unit_process,CO2_kg,N20_kg,CH4_kg,CFCs_kg,HCFCs_kg,CH3Br_kg,SO2_kg,SO3_kg,HCl_kg,HF_kg,NOx_kg,NH4_kg,PM25_kg,PM25-10_kg,PM10_kg
electricity_generation,electricity_Cambodia_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
electricity_generation,electricity_China_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
electricity_generation,electricity_LaoPDR_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
electricity_generation,electricity_Myanmar_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
electricity_generation,electricity_Thailand_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
electricity_generation,electricity_Vietnam_kWh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
raw_material_extraction,raw_aluminum_kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
raw_material_extraction,raw_copper_kg,2.53E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0084,0.00731,0.000812
raw_material_extraction,raw_iron_kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00014415,0.0012973,0.0014415
raw_material_extraction,quicklime_kg,9.09E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.36E-04,0.00E+00,0.00E+00,0.00E+00,3.36E-05,0.00E+00,1.36E-05,2.73E-05,2.73E-05
