unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,Vietnam
raw_copper_kg,Vietnam
raw_iron_kg,Vietnam
quicklime_kg,Vietnam
sand_kg,Vietnam
stone_kg,Vietnam
lorry_raw_material_transport_kg-km,Vietnam
rail_raw_material_transport_kg-km,Vietnam
alkyd_paint_kg,Vietnam
cement_kg,Vietnam
commercial_aluminum_kg,Vietnam
commercial_copper_kg,Vietnam
commercial_iron_kg,Vietnam
conventional_diesel_kg,Vietnam
fly_ash_kg,Vietnam
gasoline_e10_kg,Vietnam
lubricating_oil_kg,Vietnam
polyethylene_hdpe_kg,Vietnam
sodium_hydroxide_kg,Vietnam
concrete_c15_kg,Vietnam
concrete_c25_kg,Vietnam
concrete_c30_kg,Vietnam
concrete_c50_kg,Vietnam
concrete_c60_kg,Vietnam
glass_kg,Vietnam
organic_solvents_kg,Vietnam
steel_kg,Vietnam
lorry_intermediate_component_transport_kg-km,Vietnam
rail_intermediate_component_transport_kg-km,Vietnam
ballasted_track_km,Vietnam
high_speed_train_car_n,Vietnam
non-ballasted_track_km,Vietnam
requisite_track_systems_km,Vietnam
lorry_final_component_transport_kg-km,Vietnam
rail_final_component_transport_kg-km,Vietnam
high_speed_rail_operation_p-km,China
