unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,Cambodia
raw_copper_kg,Cambodia
raw_iron_kg,Cambodia
quicklime_kg,Cambodia
sand_kg,Cambodia
stone_kg,Cambodia
lorry_raw_material_transport_kg-km,Cambodia
rail_raw_material_transport_kg-km,Cambodia
alkyd_paint_kg,Cambodia
cement_kg,Cambodia
commercial_aluminum_kg,Cambodia
commercial_copper_kg,Cambodia
commercial_iron_kg,Cambodia
conventional_diesel_kg,Cambodia
fly_ash_kg,Cambodia
gasoline_e10_kg,Cambodia
lubricating_oil_kg,Cambodia
polyethylene_hdpe_kg,Cambodia
sodium_hydroxide_kg,Cambodia
concrete_c15_kg,Cambodia
concrete_c25_kg,Cambodia
concrete_c30_kg,Cambodia
concrete_c50_kg,Cambodia
concrete_c60_kg,Cambodia
glass_kg,Cambodia
organic_solvents_kg,Cambodia
steel_kg,Cambodia
lorry_intermediate_component_transport_kg-km,Cambodia
rail_intermediate_component_transport_kg-km,Cambodia
ballasted_track_km,Cambodia
high_speed_train_car_n,Cambodia
non-ballasted_track_km,Cambodia
requisite_track_systems_km,Cambodia
lorry_final_component_transport_kg-km,Cambodia
rail_final_component_transport_kg-km,Cambodia
high_speed_rail_operation_p-km,China
