unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,Thailand
raw_copper_kg,Thailand
raw_iron_kg,Thailand
quicklime_kg,Thailand
sand_kg,Thailand
stone_kg,Thailand
lorry_raw_material_transport_kg-km,Thailand
rail_raw_material_transport_kg-km,Thailand
alkyd_paint_kg,Thailand
cement_kg,Thailand
commercial_aluminum_kg,Thailand
commercial_copper_kg,Thailand
commercial_iron_kg,Thailand
conventional_diesel_kg,Thailand
fly_ash_kg,Thailand
gasoline_e10_kg,Thailand
lubricating_oil_kg,Thailand
polyethylene_hdpe_kg,Thailand
sodium_hydroxide_kg,Thailand
concrete_c15_kg,Thailand
concrete_c25_kg,Thailand
concrete_c30_kg,Thailand
concrete_c50_kg,Thailand
concrete_c60_kg,Thailand
glass_kg,Thailand
organic_solvents_kg,Thailand
steel_kg,Thailand
lorry_intermediate_component_transport_kg-km,Thailand
rail_intermediate_component_transport_kg-km,Thailand
ballasted_track_km,Thailand
high_speed_train_car_n,Thailand
non-ballasted_track_km,Thailand
requisite_track_systems_km,Thailand
lorry_final_component_transport_kg-km,Thailand
rail_final_component_transport_kg-km,Thailand
high_speed_rail_operation_p-km,LaoPDR
