unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,Myanmar
raw_copper_kg,Myanmar
raw_iron_kg,Myanmar
quicklime_kg,Myanmar
sand_kg,Myanmar
stone_kg,Myanmar
lorry_raw_material_transport_kg-km,Myanmar
rail_raw_material_transport_kg-km,Myanmar
alkyd_paint_kg,Myanmar
cement_kg,Myanmar
commercial_aluminum_kg,Myanmar
commercial_copper_kg,Myanmar
commercial_iron_kg,Myanmar
conventional_diesel_kg,Myanmar
fly_ash_kg,Myanmar
gasoline_e10_kg,Myanmar
lubricating_oil_kg,Myanmar
polyethylene_hdpe_kg,Myanmar
sodium_hydroxide_kg,Myanmar
concrete_c15_kg,Myanmar
concrete_c25_kg,Myanmar
concrete_c30_kg,Myanmar
concrete_c50_kg,Myanmar
concrete_c60_kg,Myanmar
glass_kg,Myanmar
organic_solvents_kg,Myanmar
steel_kg,Myanmar
lorry_intermediate_component_transport_kg-km,Myanmar
rail_intermediate_component_transport_kg-km,Myanmar
ballasted_track_km,Myanmar
high_speed_train_car_n,Myanmar
non-ballasted_track_km,Myanmar
requisite_track_systems_km,Myanmar
lorry_final_component_transport_kg-km,Myanmar
rail_final_component_transport_kg-km,Myanmar
high_speed_rail_operation_p-km,Myanmar
