unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,LaoPDR
raw_copper_kg,LaoPDR
raw_iron_kg,LaoPDR
quicklime_kg,LaoPDR
sand_kg,LaoPDR
stone_kg,LaoPDR
lorry_raw_material_transport_kg-km,LaoPDR
rail_raw_material_transport_kg-km,LaoPDR
alkyd_paint_kg,LaoPDR
cement_kg,LaoPDR
commercial_aluminum_kg,LaoPDR
commercial_copper_kg,LaoPDR
commercial_iron_kg,LaoPDR
conventional_diesel_kg,LaoPDR
fly_ash_kg,LaoPDR
gasoline_e10_kg,LaoPDR
lubricating_oil_kg,LaoPDR
polyethylene_hdpe_kg,LaoPDR
sodium_hydroxide_kg,LaoPDR
concrete_c15_kg,LaoPDR
concrete_c25_kg,LaoPDR
concrete_c30_kg,LaoPDR
concrete_c50_kg,LaoPDR
concrete_c60_kg,LaoPDR
glass_kg,LaoPDR
organic_solvents_kg,LaoPDR
steel_kg,LaoPDR
lorry_intermediate_component_transport_kg-km,LaoPDR
rail_intermediate_component_transport_kg-km,LaoPDR
ballasted_track_km,LaoPDR
high_speed_train_car_n,LaoPDR
non-ballasted_track_km,LaoPDR
requisite_track_systems_km,LaoPDR
lorry_final_component_transport_kg-km,LaoPDR
rail_final_component_transport_kg-km,LaoPDR
high_speed_rail_operation_p-km,Myanmar
