unit_process,up_countries
electricity_Cambodia_kWh,Cambodia
electricity_China_kWh,China
electricity_LaoPDR_kWh,LaoPDR
electricity_Myanmar_kWh,Myanmar
electricity_Thailand_kWh,Thailand
electricity_Vietnam_kWh,Vietnam
raw_aluminum_kg,China
raw_copper_kg,China
raw_iron_kg,China
quicklime_kg,China
sand_kg,China
stone_kg,China
lorry_raw_material_transport_kg-km,China
rail_raw_material_transport_kg-km,China
alkyd_paint_kg,China
cement_kg,China
commercial_aluminum_kg,China
commercial_copper_kg,China
commercial_iron_kg,China
conventional_diesel_kg,China
fly_ash_kg,China
gasoline_e10_kg,China
lubricating_oil_kg,China
polyethylene_hdpe_kg,China
sodium_hydroxide_kg,China
concrete_c15_kg,China
concrete_c25_kg,China
concrete_c30_kg,China
concrete_c50_kg,China
concrete_c60_kg,China
glass_kg,China
organic_solvents_kg,China
steel_kg,China
lorry_intermediate_component_transport_kg-km,China
rail_intermediate_component_transport_kg-km,China
ballasted_track_km,China
high_speed_train_car_n,China
non-ballasted_track_km,China
requisite_track_systems_km,China
lorry_final_component_transport_kg-km,China
rail_final_component_transport_kg-km,China
high_speed_rail_operation_p-km,Thailand
