,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
materials_extraction_China,1.4418724539186613e-06,7.68666544477124e-08,4.4464225068554405e-07
construction_China,5.712884581620802e-06,3.3694783814826184e-07,4.881970456129267e-07
operation_China,0.12489516324386211,0.001333078519804517,7.065320715438951e-05
materials_extraction_Cambodia,5.324851415902372e-07,1.9815973368118595e-08,1.0919816007283571e-07
construction_Cambodia,4.280434405922103e-06,2.69400154566196e-07,1.2798371726852384e-07
operation_Cambodia,0.09066370852206858,0.0009148669265451664,4.752029700823133e-05
materials_extraction_LaoPDR,5.385470301674817e-07,3.606910657772706e-08,2.2279856384217687e-07
construction_LaoPDR,3.0956863100011515e-06,2.753168537855798e-07,2.4924329821765753e-07
operation_LaoPDR,0.02384980772298212,0.0002598462946051637,1.3791487260494608e-05
materials_extraction_Myanmar,3.871911624694216e-07,1.562551779432435e-08,1.0081361149260913e-07
construction_Myanmar,3.442503935810216e-06,2.495977343379644e-07,1.1817393772970069e-07
operation_Myanmar,0.051368175478424156,3.578739359861514e-05,6.14641577253004e-07
materials_extraction_Thailand,1.078263846598921e-06,4.13059452590269e-08,2.5159284609031604e-07
construction_Thailand,5.825767136319527e-06,2.835171387791065e-07,2.802357011711404e-07
operation_Thailand,0.14953331201453135,0.0004118349845916781,1.9915670041960763e-05
materials_extraction_Vietnam,2.393059286353098e-06,1.4355576394791394e-07,8.464696705412391e-07
construction_Vietnam,6.568760975600707e-06,4.0740937857605603e-07,9.194010069925877e-07
operation_Vietnam,0.08587526619638716,0.0006356651994759869,3.288486677919834e-05
