,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
materials_extraction_China,3.0176278237737273e-06,2.0296889054080478e-07,1.2239764824656692e-06
construction_China,6.555467682334167e-06,4.636855663028201e-07,1.324327478455488e-06
operation_China,0.12489496494188847,0.0013330760971437805,7.065307334866986e-05
materials_extraction_Cambodia,3.2826458817849183e-06,2.0620666191747539e-07,1.224155576195379e-06
construction_Cambodia,7.370779248710828e-06,4.736463684930294e-07,1.3248784491719505e-06
operation_Cambodia,0.0906639068247775,0.0009148693492849201,4.752043130867807e-05
materials_extraction_LaoPDR,2.7825066783910763e-06,1.7095039354775953e-07,1.011593742572394e-06
construction_LaoPDR,6.9196878856984795e-06,4.3636713390354086e-07,1.0966544915817882e-06
operation_LaoPDR,0.023850393077433932,0.0002598525118554766,1.3791816866318798e-05
materials_extraction_Myanmar,2.9454780285778157e-06,1.8242946296083652e-07,1.0807953954176821e-06
construction_Myanmar,7.0666251381176035e-06,4.4850347926834633e-07,1.1709492098591178e-06
operation_Myanmar,0.05136860141948219,3.579490882664032e-05,6.150475667162977e-07
materials_extraction_Thailand,3.2371640693215643e-06,2.0299704270867927e-07,1.2048022768365417e-06
construction_Thailand,7.3297383361053985e-06,4.702520666825379e-07,1.3040969335713565e-06
operation_Thailand,0.14953316928649565,0.0004118403213806502,1.9915964212650476e-05
materials_extraction_Vietnam,2.393059286353098e-06,1.4355576394791394e-07,8.464696705412391e-07
construction_Vietnam,6.568760975600707e-06,4.0740937857605603e-07,9.194010069925877e-07
operation_Vietnam,0.08587526619638716,0.0006356651994759869,3.288486677919834e-05
