,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
materials_extraction_China,3.426030869694665e-06,1.9593513556307802e-07,1.2044133419221227e-06
construction_China,7.915342772081738e-06,4.4835576652418493e-07,1.3028909936669373e-06
operation_China,0.12489530597256192,0.0013330731830869123,7.065291343053158e-05
materials_extraction_Cambodia,1.104151262753478e-06,4.3000173980145757e-08,2.6202987728960967e-07
construction_Cambodia,5.848750998414144e-06,2.853220418841479e-07,2.914315217539953e-07
operation_Cambodia,0.09066404955280993,0.0009148640124955968,4.752013713578959e-05
materials_extraction_LaoPDR,1.0434589329898098e-06,3.902848816567645e-08,2.3756302715869775e-07
construction_LaoPDR,5.794868002050816e-06,2.81090951157382e-07,2.651861140019231e-07
operation_LaoPDR,0.023850535805538108,0.00025984717507386405,1.3791522741708016e-05
materials_extraction_Myanmar,1.4206265045915083e-06,6.373198154412214e-08,3.897500232220959e-07
construction_Myanmar,6.129833967482738e-06,3.0741033281913503e-07,4.284485204321769e-07
operation_Myanmar,0.051368744147619765,3.578957204861607e-05,6.147534645713862e-07
materials_extraction_Thailand,1.078263846598921e-06,4.13059452590269e-08,2.5159284609031604e-07
construction_Thailand,5.825767136319527e-06,2.835171387791065e-07,2.802357011711404e-07
operation_Thailand,0.14953331201453135,0.0004118349845916781,1.9915670041960763e-05
materials_extraction_Vietnam,1.6482375677620901e-06,7.866490471600715e-08,4.817514048560902e-07
construction_Vietnam,6.332108792336201e-06,3.2332280822437043e-07,5.271596956029479e-07
operation_Vietnam,0.08587540892465104,0.0006356598627115368,3.2884572762041326e-05
