,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
materials_extraction_China,2.085197932194898e-06,1.6354407374743423e-07,1.0112013427994362e-06
construction_China,4.568048503239398e-06,4.113896853679514e-07,1.0953311426853483e-06
operation_China,0.12489457788993773,0.0013330723026108828,7.065287790343043e-05
materials_extraction_Cambodia,7.930034503073243e-07,5.6985152221489394e-08,3.521410010939302e-07
construction_Cambodia,3.337568652738429e-06,2.9763367773763663e-07,3.8799564210749663e-07
operation_Cambodia,0.0906633214702953,0.0009148631320313398,4.752010168239561e-05
materials_extraction_LaoPDR,5.385470301674817e-07,3.606910657772706e-08,2.2279856384217687e-07
construction_LaoPDR,3.0956863100011515e-06,2.753168537855798e-07,2.4924329821765753e-07
operation_LaoPDR,0.02384980772298212,0.0002598462946051637,1.3791487260494608e-05
materials_extraction_Myanmar,9.728648995727926e-07,7.178313851123086e-08,4.436545079690685e-07
construction_Myanmar,3.5086270744216343e-06,3.13425114677112e-07,4.861799159272396e-07
operation_Myanmar,0.05136801606509077,3.578869158281681e-05,6.147180015218704e-07
materials_extraction_Thailand,5.675622937838122e-07,3.8452987767521236e-08,2.3753983813308636e-07
construction_Thailand,3.1232606218985724e-06,2.7786018425480986e-07,2.6505593453256343e-07
operation_Thailand,0.1495325839319757,0.0004118341041230082,1.9915634560938556e-05
materials_extraction_Vietnam,6.369630950788792e-07,4.415612230752539e-08,2.728068665784099e-07
construction_Vietnam,3.1892223323121837e-06,2.8394499330891487e-07,3.02887234628985e-07
operation_Vietnam,0.08587468084201874,0.0006356589822346369,3.288453722949102e-05
